Date,Close,stock
"Mar 28, 2025",217.61,"39,818,600"
"Mar 27, 2025",223.56,"37,094,800"
"Mar 26, 2025",221.24,"34,466,100"
"Mar 25, 2025",223.46,"34,493,600"
"Mar 24, 2025",220.44,"44,299,500"
"Mar 21, 2025",217.98,"94,127,800"
"Mar 20, 2025",213.82,"48,862,900"
"Mar 19, 2025",214.96,"54,385,400"
"Mar 18, 2025",212.41,"42,432,400"
"Mar 17, 2025",213.72,"48,073,400"
"Mar 14, 2025",213.21,"60,107,600"
"Mar 13, 2025",209.41,"61,368,300"
"Mar 12, 2025",216.70,"62,547,500"
"Mar 11, 2025",220.55,"76,137,400"
"Mar 10, 2025",227.18,"72,071,200"
"Mar 7, 2025",238.76,"46,273,600"
"Mar 6, 2025",235.02,"45,170,400"
"Mar 5, 2025",235.43,"47,227,600"
"Mar 4, 2025",235.62,"53,798,100"
"Mar 3, 2025",237.72,"47,184,000"
"Feb 28, 2025",241.52,"56,833,400"
"Feb 27, 2025",236.99,"41,153,600"
"Feb 26, 2025",240.05,"44,433,600"
"Feb 25, 2025",246.72,"48,013,300"
"Feb 24, 2025",246.78,"51,326,400"
"Feb 21, 2025",245.23,"53,197,400"
"Feb 20, 2025",245.51,"32,316,900"
"Feb 19, 2025",244.55,"32,204,200"
"Feb 18, 2025",244.15,"48,822,500"
"Feb 14, 2025",244.28,"40,896,200"
"Feb 13, 2025",241.21,"53,614,100"
"Feb 12, 2025",236.56,"45,243,300"
"Feb 11, 2025",232.32,"53,718,400"
"Feb 10, 2025",227.35,"33,115,600"
"Feb 7, 2025",227.08,"39,707,200"
"Feb 6, 2025",232.66,"29,925,300"
"Feb 5, 2025",231.91,"39,620,300"
"Feb 4, 2025",232.24,"45,067,300"
"Feb 3, 2025",227.46,"73,063,300"
"Jan 31, 2025",235.43,"101,075,100"
"Jan 30, 2025",237.02,"55,658,300"
"Jan 29, 2025",238.78,"45,486,100"
"Jan 28, 2025",237.69,"75,707,600"
"Jan 27, 2025",229.31,"94,863,400"
"Jan 24, 2025",222.24,"54,697,900"
"Jan 23, 2025",223.12,"60,234,800"
"Jan 22, 2025",223.29,"64,126,500"
"Jan 21, 2025",222.10,"98,070,400"
"Jan 17, 2025",229.43,"68,488,300"
"Jan 16, 2025",227.71,"71,759,100"
"Jan 15, 2025",237.30,"39,832,000"
"Jan 14, 2025",232.72,"39,435,300"
"Jan 13, 2025",233.84,"49,630,700"
"Jan 10, 2025",236.28,"61,710,900"
"Jan 8, 2025",242.12,"37,628,900"
"Jan 7, 2025",241.63,"40,856,000"
"Jan 6, 2025",244.41,"45,045,600"
"Jan 3, 2025",242.77,"40,244,100"
"Jan 2, 2025",243.26,"55,740,700"
"Dec 31, 2024",249.82,"39,480,700"
"Dec 30, 2024",251.59,"35,557,500"
"Dec 27, 2024",254.97,"42,355,300"
"Dec 26, 2024",258.40,"27,237,100"
"Dec 24, 2024",257.58,"23,234,700"
"Dec 23, 2024",254.66,"40,858,800"
"Dec 20, 2024",253.88,"147,495,300"
"Dec 19, 2024",249.19,"60,882,300"
"Dec 18, 2024",247.45,"56,774,100"
"Dec 17, 2024",252.87,"51,356,400"
"Dec 16, 2024",250.44,"51,694,800"
"Dec 13, 2024",247.53,"33,155,300"
"Dec 12, 2024",247.36,"32,777,500"
"Dec 11, 2024",245.90,"45,205,800"
"Dec 10, 2024",247.17,"36,914,800"
"Dec 9, 2024",246.16,"44,649,200"
"Dec 6, 2024",242.26,"36,870,600"
"Dec 5, 2024",242.46,"40,033,900"
"Dec 4, 2024",242.43,"44,383,900"
"Dec 3, 2024",242.07,"38,861,000"
"Dec 2, 2024",239.01,"48,137,100"
"Nov 29, 2024",236.76,"28,481,400"
"Nov 27, 2024",234.36,"33,498,400"
"Nov 26, 2024",234.49,"45,986,200"
"Nov 25, 2024",232.31,"90,152,800"
"Nov 22, 2024",229.32,"38,168,300"
"Nov 21, 2024",227.97,"42,108,300"
"Nov 20, 2024",228.45,"35,169,600"
"Nov 19, 2024",227.73,"36,211,800"
"Nov 18, 2024",227.47,"44,686,000"
"Nov 15, 2024",224.46,"47,923,700"
"Nov 14, 2024",227.67,"44,923,900"
